target,v1,v2,v3,v4,v5,v6,v7,v8,sample_type
5.11,499.933333333333,195.666666666666,561.866666666666,361.333333333333,472,203.666666666666,658.533333333333,4607,lab 2
5.09,538.333333333333,207,607.866666666666,383.8,475.266666666666,204.8,679.2,4773.2,lab 2
4.66,514.125,205,573.375,364.5625,474.9375,209.75,635.5625,4509.5,lab 2
4.89,495.333333333333,182.933333333333,549.533333333333,344.533333333333,457.866666666666,189.2,586.266666666666,4324.6,lab 2
4.84,525.333333333333,195.066666666666,591.866666666666,382.733333333333,478.6,207.466666666666,657.2,4690.6,lab 2
4.95,482.5625,191.3125,559.875,353.125,477,195.25,638.8125,4462.0625,lab 2
5,521.1875,202.4375,577.5625,369.125,479.375,197.5,655.0625,4601.1875,lab 2
5,505.866666666666,184.266666666666,547.866666666666,337.933333333333,460.666666666666,196.333333333333,596.4,4430.06666666666,lab 2
4.92,515.866666666666,195.933333333333,562.133333333333,342.4,461.4,204,609.533333333333,4217.13333333333,lab 2
4.74,536.4375,204,587.4375,364.5625,460.875,202.5,647.125,4573.3125,lab 2
4.98,552.875,211.8125,574.8125,366.375,465.8125,201.6875,651,4428.3125,lab 2
5.05,501.578947368421,203.631578947368,591.526315789473,377.157894736842,478.473684210526,213,647.473684210526,4418.68421052631,lab 2
4.92,515.6875,189.375,572.5,355.375,462.0625,192.6875,632.625,4709.375,lab 2
5.11,557.266666666666,210.8,586.666666666666,370.733333333333,462.466666666666,203.466666666666,658.466666666666,4530.33333333333,lab 2
5.09,504.133333333333,202.066666666666,574.866666666666,361.533333333333,478.266666666666,214,676.2,4423.86666666666,lab 2
5.02,506.125,203.8125,598.6875,370.75,477.0625,213.8125,638.25,4598.4375,lab 2
4.93,499.466666666666,201.066666666666,584.666666666666,378.733333333333,470,207.066666666666,646.333333333333,4544.66666666666,lab 2
4.9,534.333333333333,226.733333333333,592.266666666666,377.6,496.133333333333,230.866666666666,690.2,4508,lab 2
4.8,536.4,222.266666666666,625,414.266666666666,511.333333333333,242.6,738.466666666666,4495.93333333333,lab 2
5.01,551.631578947368,225.368421052631,627.78947368421,406.315789473684,499.421052631578,237.684210526315,727.105263157894,4670.21052631578,lab 2
5.03,542.5625,211.8125,621.875,406.4375,502.125,241.25,692.1875,4820.625,lab 2
4.84,513.8125,208.125,585.5625,355.125,474.625,213.75,642.5,4705.9375,lab 2
5.03,517.75,216.75,583.25,376.125,498.9375,231.1875,677.875,4701.25,lab 2
5.08,545.75,234.5625,612.6875,399.25,506.6875,262,685.125,4423.8125,lab 2
4.83,539.666666666666,236,646.2,423.466666666666,511.333333333333,271.4,752.266666666666,4634.93333333333,lab 2
4.89,663.375,422.8125,722.3125,541.75,721,415.375,738.125,3836.8125,lab 2
